kernel,height,width,sw_time,hw_total_time,hw_time,pack_time,unpack_time,hw_speedup_vs_sw,overhead_time,best_tile,num_tiles,compute_ratio,overhead_ratio
Sobel X,4,4,0.000466,0.005719,0.000443,0.004559,0.000071,0.081541,0.00463,NaN,NaN,0.077539,0.809571
Sobel Y,4,4,0.000375,0.001784,0.0004,0.000946,0.000037,0.210048,0.000982,NaN,NaN,0.224212,0.550508
Gaussian,4,4,0.000384,0.002352,0.000406,0.001429,0.000041,0.163423,0.001471,NaN,NaN,0.172749,0.625304
Sobel X,8,8,0.002758,0.003727,0.000462,0.002405,0.000078,0.74002,0.002483,NaN,NaN,0.123849,0.666325
Sobel Y,8,8,0.00273,0.001372,0.000378,0.000596,0.000034,1.98992,0.000629,NaN,NaN,0.275287,0.458811
Gaussian,8,8,0.002716,0.001404,0.000379,0.00062,0.000034,1.933786,0.000654,NaN,NaN,0.26961,0.465874
Sobel X,16,16,0.014494,0.001855,0.000414,0.000938,0.00007,7.811874,0.001008,NaN,NaN,0.223336,0.543305
Sobel Y,16,16,0.014065,0.001421,0.000381,0.000629,0.000035,9.898322,0.000664,NaN,NaN,0.268121,0.467114
Gaussian,16,16,0.014346,0.001411,0.00038,0.000619,0.000034,10.167624,0.000653,NaN,NaN,0.26901,0.462994
Sobel X,32,32,0.065056,0.001653,0.000415,0.000776,0.000059,39.351889,0.000835,NaN,NaN,0.250937,0.505336
Sobel Y,32,32,0.063955,0.001473,0.000386,0.00066,0.000042,43.419553,0.000702,NaN,NaN,0.261897,0.47653
Gaussian,32,32,0.064927,0.001509,0.000386,0.000684,0.000041,43.021169,0.000725,NaN,NaN,0.255924,0.480569
Sobel X,64,64,0.27734,0.001892,0.000425,0.000971,0.000074,146.578629,0.001045,32,9,0.224546,0.552419
Sobel Y,64,64,0.275786,0.001824,0.000409,0.00093,0.000073,151.206536,0.001003,32,9,0.224052,0.550065
Gaussian,64,64,0.278649,0.001818,0.000404,0.000926,0.000076,153.297219,0.001001,32,9,0.222455,0.550892
Sobel X,128,128,1.132048,0.002076,0.000558,0.000944,0.000153,545.263206,0.001096,64,9,0.268718,0.52802
Sobel Y,128,128,1.135946,0.002063,0.000531,0.000958,0.000155,550.555119,0.001113,64,9,0.257222,0.539635
Gaussian,128,128,1.147681,0.002065,0.000536,0.000959,0.000152,555.7287,0.001111,64,9,0.259755,0.537982
Sobel X,256,256,4.59719,0.003131,0.001049,0.0011,0.000486,1468.322723,0.001586,128,9,0.334907,0.506549
Sobel Y,256,256,4.608455,0.003052,0.001048,0.001059,0.000487,1509.862521,0.001546,128,9,0.343384,0.506483
Gaussian,256,256,4.644482,0.00307,0.001044,0.001079,0.000489,1512.685821,0.001568,128,9,0.340115,0.510638
Sobel X,512,512,18.627188,0.006971,0.00302,0.001478,0.001872,2671.959234,0.00335,256,9,0.433174,0.480575
Sobel Y,512,512,18.668858,0.007343,0.003016,0.001539,0.00219,2542.300844,0.003728,256,9,0.410649,0.507727
Gaussian,512,512,18.818949,0.007304,0.003013,0.00148,0.002227,2576.458807,0.003707,256,9,0.412521,0.507573
Sobel X,1024,1024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,9,NaN,NaN
Sobel Y,1024,1024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,9,NaN,NaN
Gaussian,1024,1024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,9,NaN,NaN
Sobel X,2048,2048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,25,NaN,NaN
Sobel Y,2048,2048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,25,NaN,NaN
Gaussian,2048,2048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,25,NaN,NaN
Sobel X,4096,4096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,81,NaN,NaN
Sobel Y,4096,4096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,81,NaN,NaN
Gaussian,4096,4096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,81,NaN,NaN
Sobel X,8192,8192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,289,NaN,NaN
Sobel Y,8192,8192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,289,NaN,NaN
Gaussian,8192,8192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,289,NaN,NaN
