,height,width,best_tile,num_tiles
0,4,4,NaN,NaN
12,4,4,NaN,NaN
24,4,4,NaN,NaN
1,8,8,NaN,NaN
13,8,8,NaN,NaN
25,8,8,NaN,NaN
2,16,16,NaN,NaN
14,16,16,NaN,NaN
26,16,16,NaN,NaN
3,32,32,NaN,NaN
15,32,32,NaN,NaN
27,32,32,NaN,NaN
4,64,64,32,9
16,64,64,32,9
28,64,64,32,9
5,128,128,64,9
17,128,128,64,9
29,128,128,64,9
6,256,256,128,9
18,256,256,128,9
30,256,256,128,9
7,512,512,256,9
19,512,512,256,9
31,512,512,256,9
8,1024,1024,512,9
20,1024,1024,512,9
32,1024,1024,512,9
9,2048,2048,512,25
21,2048,2048,512,25
33,2048,2048,512,25
10,4096,4096,512,81
22,4096,4096,512,81
34,4096,4096,512,81
11,8192,8192,512,289
23,8192,8192,512,289
35,8192,8192,512,289
