kernel,height,width,tile_size,total_time,hw_time,pack_time,unpack_time,tiles,speedup_vs_hw,speedup_vs_sw,overhead_time,compute_ratio,overhead_ratio
Sobel X,64,64,32,0.016049,0.003366,0.004471,0.000309,9,0.117892,17.280409,0.012683,0.209727,0.790273
Sobel Y,64,64,32,0.01556,0.003237,0.004359,0.000313,9,0.117216,17.72386,0.012323,0.208047,0.791953
Gaussian,64,64,32,0.015553,0.003271,0.004335,0.000306,9,0.116875,17.916636,0.012282,0.210296,0.789704
Sobel X,128,128,32,0.043337,0.009334,0.012242,0.000967,25,0.047907,26.121758,0.034004,0.215371,0.784629
Sobel Y,128,128,32,0.042448,0.00907,0.012037,0.000897,25,0.048607,26.760863,0.033378,0.213682,0.786318
...,...,...,...,...,...,...,...,...,...,...,...,...,...
Sobel Y,8192,8192,256,3.832094,1.09589,0.986537,0.512928,1089,NaN,NaN,2.736204,0.285977,0.714023
Gaussian,8192,8192,256,3.844354,1.096807,0.99851,0.512876,1089,NaN,NaN,2.747546,0.285303,0.714697
Sobel X,8192,8192,512,2.412136,0.796824,0.491345,0.510067,289,NaN,NaN,1.615311,0.33034,0.66966
Sobel Y,8192,8192,512,2.39991,0.797599,0.484792,0.505685,289,NaN,NaN,1.602311,0.332345,0.667655
Gaussian,8192,8192,512,2.411739,0.797769,0.493811,0.505203,289,NaN,NaN,1.61397,0.330786,0.669214
,,,,,,,,,,,,,
,,,,,,,,,,,,,
