kernel,height,width,sw_time,hw_total_time,hw_time,pack_time,unpack_time,hw_speedup_vs_sw,overhead_time,best_tile,num_tiles,compute_ratio,overhead_ratio
Sobel X,8,8,0.002727508544921875,0.0023775100708007812,0.0004754066467285156,0.0009627342224121094,5.3882598876953125e-05,1.147212194143602,0.0010166168212890625,,,0.19995988768551945,0.4275972723626153
Sobel Y,8,8,0.002681255340576172,0.0014157295227050781,0.00038433074951171875,0.0006146430969238281,3.4332275390625e-05,1.8939036712697879,0.0006489753723144531,,,0.27147187605254297,0.4584035028629168
Gaussian,8,8,0.0026712417602539062,0.0014810562133789062,0.00038051605224609375,0.0006480216979980469,3.62396240234375e-05,1.8036059240180295,0.0006842613220214844,,,0.25692208628461044,0.4620090148100451
Sobel X,16,16,0.014835834503173828,0.0022749900817871094,0.000423431396484375,0.0012836456298828125,7.581710815429688e-05,6.521274365961014,0.0013594627380371094,,,0.1861245022007965,0.5975686438901697
Sobel Y,16,16,0.014174461364746094,0.0014867782592773438,0.0003876686096191406,0.0006289482116699219,3.719329833984375e-05,9.533675432969853,0.0006661415100097656,,,0.2607440667094291,0.4480436177036562
Gaussian,16,16,0.014518260955810547,0.0014567375183105469,0.000385284423828125,0.0006380081176757812,3.62396240234375e-05,9.966284779050737,0.0006742477416992188,,,0.2644844517184943,0.46284779050736496
Sobel X,32,32,0.06718778610229492,0.0018973350524902344,0.0004181861877441406,0.0009407997131347656,7.2479248046875e-05,35.411661221412416,0.0010132789611816406,,,0.22040713747172658,0.5340537823573762
Sobel Y,32,32,0.06464052200317383,0.0015034675598144531,0.0003871917724609375,0.000667572021484375,4.291534423828125e-05,42.99429115128449,0.0007104873657226562,,,0.2575325087218522,0.47256581033935935
Gaussian,32,32,0.06551551818847656,0.0014820098876953125,0.0003886222839355469,0.0006537437438964844,4.1484832763671875e-05,44.207207207207205,0.0006952285766601562,,,0.2622265122265122,0.4691119691119691
Sobel X,64,64,0.2785606384277344,0.0019083023071289062,0.0004277229309082031,0.0009779930114746094,7.2479248046875e-05,145.97301349325338,0.0010504722595214844,32.0,9.0,0.22413793103448276,0.5504747626186907
Sobel Y,64,64,0.27904844284057617,0.0018453598022460938,0.00040531158447265625,0.0009450912475585938,7.343292236328125e-05,151.21627906976744,0.001018524169921875,32.0,9.0,0.21963824289405684,0.5519379844961241
Gaussian,64,64,0.28183412551879883,0.0018863677978515625,0.0004076957702636719,0.0009679794311523438,7.486343383789062e-05,149.4057128412538,0.0010428428649902344,32.0,9.0,0.2161274014155713,0.5528311425682507
Sobel X,128,128,1.1436333656311035,0.0021514892578125,0.0005555152893066406,0.0010027885437011719,0.00015401840209960938,531.5542996453901,0.0011568069458007812,64.0,9.0,0.2582003546099291,0.537677304964539
Sobel Y,128,128,1.141920566558838,0.0020895004272460938,0.0005383491516113281,0.0009603500366210938,0.00015735626220703125,546.504107713373,0.001117706298828125,64.0,9.0,0.25764491099954356,0.5349155636695573
Gaussian,128,128,1.1544666290283203,0.0021352767944335938,0.0005369186401367188,0.0010089874267578125,0.000156402587890625,540.6636891469406,0.0011653900146484375,64.0,9.0,0.25145154086645827,0.5457793657882983
Sobel X,256,256,4.662596702575684,0.003177642822265625,0.001068115234375,0.0011096000671386719,0.0004878044128417969,1467.313025210084,0.0015974044799804688,128.0,9.0,0.33613445378151263,0.5027010804321729
Sobel Y,256,256,4.647763252258301,0.003158092498779297,0.0010418891906738281,0.0011401176452636719,0.0004887580871582031,1471.6995319341688,0.001628875732421875,128.0,9.0,0.3299109165030953,0.5157783481805828
Gaussian,256,256,4.696071624755859,0.0031261444091796875,0.0010409355163574219,0.0010762214660644531,0.0005388259887695312,1502.1928004881024,0.0016150474548339844,128.0,9.0,0.33297742525930446,0.5166259914582062
Sobel X,512,512,18.809595108032227,0.007803440093994141,0.0030231475830078125,0.0017647743225097656,0.002460479736328125,2410.423464711274,0.004225254058837891,256.0,9.0,0.38741216009776963,0.5414604338527345
Sobel Y,512,512,18.815067768096924,0.007313251495361328,0.003032684326171875,0.0015778541564941406,0.0021085739135742188,2572.73632392254,0.0036864280700683594,256.0,9.0,0.41468344526308926,0.5040751124731042
Gaussian,512,512,18.98007583618164,0.007276058197021484,0.0030188560485839844,0.0015549659729003906,0.0021114349365234375,2608.565698931778,0.003666400909423828,256.0,9.0,0.41490268038534633,0.5038993380955502
