kernel,height,width,best_tile,best_tile_speedup_vs_hw
Sobel X,64,64,32.0,0.1134032303768773
Sobel Y,64,64,32.0,0.11362635426759447
Gaussian,64,64,32.0,0.11555763276275048
Sobel X,128,128,64.0,0.12625216856007612
Sobel Y,128,128,64.0,0.12466217177320701
Gaussian,128,128,64.0,0.12745488700404167
Sobel X,256,256,128.0,0.17284847227265654
Sobel Y,256,256,128.0,0.17576030996231623
Gaussian,256,256,128.0,0.17373330506677973
Sobel X,512,512,256.0,0.3269273028747228
Sobel Y,512,512,256.0,0.30640295674757767
Gaussian,512,512,256.0,0.30507017473709463
