kernel,height,width,best_tile,best_tile_speedup_vs_sw
Sobel X,64,64,32.0,16.55381127798243
Sobel Y,64,64,32.0,17.182154496608828
Gaussian,64,64,32.0,17.26497049716656
Sobel X,128,128,64.0,67.109883037663
Sobel Y,128,128,64.0,68.12838895052772
Gaussian,128,128,64.0,68.91022940741162
Sobel X,256,256,128.0,253.622814753333
Sobel Y,256,256,128.0,258.6663659041452
Gaussian,256,256,128.0,260.9809200763197
Sobel X,512,512,256.0,788.0332421040015
Sobel Y,512,512,256.0,788.29401658176
Gaussian,512,512,256.0,795.7955935863089
