kernel,height,width,sw_time,hw_total_time,hw_time_x,pack_time_x,unpack_time_x,hw_speedup_vs_sw,overhead_time_x,best_tile,num_tiles,compute_ratio_x,overhead_ratio_x,tile_size,total_time,hw_time_y,pack_time_y,unpack_time_y,tiles,speedup_vs_hw,speedup_vs_sw,overhead_time_y,compute_ratio_y,overhead_ratio_y,best_tile_speedup_vs_hw,best_tile_speedup_vs_sw
Sobel X,4,4,0.0004515647888183594,0.002956867218017578,0.00048732757568359375,0.0017576217651367188,9.107589721679688e-05,0.15271730366069988,0.0018486976623535156,,,0.16481212707627801,0.6252217384292856,,,,,,,,,,,,,
Sobel Y,4,4,0.00037384033203125,0.0017676353454589844,0.0004086494445800781,0.0009164810180664062,3.8623809814453125e-05,0.21149177232263286,0.0009551048278808594,,,0.23118424602104126,0.5403291070946857,,,,,,,,,,,,,
Gaussian,4,4,0.0003819465637207031,0.0017671585083007812,0.0004086494445800781,0.0009121894836425781,3.9577484130859375e-05,0.21613599568267675,0.0009517669677734375,,,0.23124662709120344,0.5385860766324878,,,,,,,,,,,,,
Sobel X,8,8,0.002727508544921875,0.0023775100708007812,0.0004754066467285156,0.0009627342224121094,5.3882598876953125e-05,1.147212194143602,0.0010166168212890625,,,0.19995988768551945,0.4275972723626153,,,,,,,,,,,,,
Sobel Y,8,8,0.002681255340576172,0.0014157295227050781,0.00038433074951171875,0.0006146430969238281,3.4332275390625e-05,1.8939036712697879,0.0006489753723144531,,,0.27147187605254297,0.4584035028629168,,,,,,,,,,,,,
Gaussian,8,8,0.0026712417602539062,0.0014810562133789062,0.00038051605224609375,0.0006480216979980469,3.62396240234375e-05,1.8036059240180295,0.0006842613220214844,,,0.25692208628461044,0.4620090148100451,,,,,,,,,,,,,
Sobel X,16,16,0.014835834503173828,0.0022749900817871094,0.000423431396484375,0.0012836456298828125,7.581710815429688e-05,6.521274365961014,0.0013594627380371094,,,0.1861245022007965,0.5975686438901697,,,,,,,,,,,,,
Sobel Y,16,16,0.014174461364746094,0.0014867782592773438,0.0003876686096191406,0.0006289482116699219,3.719329833984375e-05,9.533675432969853,0.0006661415100097656,,,0.2607440667094291,0.4480436177036562,,,,,,,,,,,,,
Gaussian,16,16,0.014518260955810547,0.0014567375183105469,0.000385284423828125,0.0006380081176757812,3.62396240234375e-05,9.966284779050737,0.0006742477416992188,,,0.2644844517184943,0.46284779050736496,,,,,,,,,,,,,
Sobel X,32,32,0.06718778610229492,0.0018973350524902344,0.0004181861877441406,0.0009407997131347656,7.2479248046875e-05,35.411661221412416,0.0010132789611816406,,,0.22040713747172658,0.5340537823573762,,,,,,,,,,,,,
Sobel Y,32,32,0.06464052200317383,0.0015034675598144531,0.0003871917724609375,0.000667572021484375,4.291534423828125e-05,42.99429115128449,0.0007104873657226562,,,0.2575325087218522,0.47256581033935935,,,,,,,,,,,,,
Gaussian,32,32,0.06551551818847656,0.0014820098876953125,0.0003886222839355469,0.0006537437438964844,4.1484832763671875e-05,44.207207207207205,0.0006952285766601562,,,0.2622265122265122,0.4691119691119691,,,,,,,,,,,,,
Sobel X,64,64,0.2785606384277344,0.0019083023071289062,0.0004277229309082031,0.0009779930114746094,7.2479248046875e-05,145.97301349325338,0.0010504722595214844,32.0,9.0,0.22413793103448276,0.5504747626186907,32.0,0.01682758331298828,0.0034656524658203125,0.004622936248779297,0.000347137451171875,9.0,0.1134032303768773,16.55381127798243,0.013361930847167969,0.2059506942476622,0.7940493057523378,0.1134032303768773,16.55381127798243
Sobel Y,64,64,0.27904844284057617,0.0018453598022460938,0.00040531158447265625,0.0009450912475585938,7.343292236328125e-05,151.21627906976744,0.001018524169921875,32.0,9.0,0.21963824289405684,0.5519379844961241,32.0,0.016240596771240234,0.0033364295959472656,0.004500865936279297,0.0003132820129394531,9.0,0.11362635426759447,17.182154496608828,0.012904167175292969,0.20543762294841306,0.7945623770515869,0.11362635426759447,17.182154496608828
Gaussian,64,64,0.28183412551879883,0.0018863677978515625,0.0004076957702636719,0.0009679794311523438,7.486343383789062e-05,149.4057128412538,0.0010428428649902344,32.0,9.0,0.2161274014155713,0.5528311425682507,32.0,0.01632404327392578,0.003303050994873047,0.004625797271728516,0.0003151893615722656,9.0,0.11555763276275048,17.26497049716656,0.013020992279052734,0.20234270023952797,0.7976572997604721,0.11555763276275048,17.26497049716656
Sobel X,128,128,1.1436333656311035,0.0021514892578125,0.0005555152893066406,0.0010027885437011719,0.00015401840209960938,531.5542996453901,0.0011568069458007812,64.0,9.0,0.2582003546099291,0.537677304964539,64.0,0.01704120635986328,0.003487110137939453,0.004778385162353516,0.0004253387451171875,9.0,0.12625216856007612,67.109883037663,0.013554096221923828,0.20462812692372265,0.7953718730762773,0.12625216856007612,67.109883037663
