kernel,height,width,tile_size,total_time,hw_time,pack_time,unpack_time,tiles,speedup_vs_hw,speedup_vs_sw,overhead_time,compute_ratio,overhead_ratio
Sobel X,64,64,32,0.01682758331298828,0.0034656524658203125,0.004622936248779297,0.000347137451171875,9,0.1134032303768773,16.55381127798243,0.013361930847167969,0.2059506942476622,0.7940493057523378
Sobel Y,64,64,32,0.016240596771240234,0.0033364295959472656,0.004500865936279297,0.0003132820129394531,9,0.11362635426759447,17.182154496608828,0.012904167175292969,0.20543762294841306,0.7945623770515869
Gaussian,64,64,32,0.01632404327392578,0.003303050994873047,0.004625797271728516,0.0003151893615722656,9,0.11555763276275048,17.26497049716656,0.013020992279052734,0.20234270023952797,0.7976572997604721
Sobel X,128,128,32,0.045526981353759766,0.009445667266845703,0.01254415512084961,0.0009469985961914062,25,0.047257454674947894,25.119903222765693,0.03608131408691406,0.20747405134220806,0.7925259486577919
Sobel Y,128,128,32,0.04462385177612305,0.00919342041015625,0.012462139129638672,0.0009489059448242188,25,0.04682474381030743,25.58991483495934,0.0354304313659668,0.20602032420418237,0.7939796757958176
Gaussian,128,128,32,0.04468965530395508,0.009200096130371094,0.012633323669433594,0.0009179115295410156,25,0.04778011331505212,25.83297233277494,0.035489559173583984,0.20586634799031167,0.7941336520096883
Sobel X,128,128,64,0.01704120635986328,0.003487110137939453,0.004778385162353516,0.0004253387451171875,9,0.12625216856007612,67.109883037663,0.013554096221923828,0.20462812692372265,0.7953718730762773
Sobel Y,128,128,64,0.016761302947998047,0.0033006668090820312,0.004839897155761719,0.0004248619079589844,9,0.12466217177320701,68.12838895052772,0.013460636138916016,0.19692185144092628,0.8030781485590737
Gaussian,128,128,64,0.016753196716308594,0.003360748291015625,0.004608631134033203,0.00042629241943359375,9,0.12745488700404167,68.91022940741162,0.013392448425292969,0.20060340410997893,0.7993965958900211
Sobel X,256,256,32,0.17827272415161133,0.037181854248046875,0.049681663513183594,0.003830432891845703,100,0.017824615837267462,26.154290987388496,0.14109086990356445,0.20856726358444894,0.7914327364155511
Sobel Y,256,256,32,0.17618989944458008,0.03660297393798828,0.04962873458862305,0.0036954879760742188,100,0.017924367450885933,26.37928318768488,0.1395869255065918,0.20774728888191243,0.7922527111180876
Gaussian,256,256,32,0.17711305618286133,0.037007808685302734,0.0504155158996582,0.0037288665771484375,100,0.01765055878179914,26.51454232661072,0.1401052474975586,0.20895020097837294,0.7910497990216271
Sobel X,256,256,64,0.0462493896484375,0.009472370147705078,0.012980937957763672,0.0013709068298339844,25,0.0687066974595843,100.81423210161662,0.03677701950073242,0.20481070603761134,0.7951892939623887
Sobel Y,256,256,64,0.04597902297973633,0.009319305419921875,0.013033390045166016,0.0013380050659179688,25,0.06868550687062484,101.08442831215972,0.03665971755981445,0.20268602540834846,0.7973139745916515
Gaussian,256,256,64,0.04599475860595703,0.009408950805664062,0.013156414031982422,0.0013346672058105469,25,0.06796740550291319,102.10014721433163,0.03658580780029297,0.2045657177217027,0.7954342822782973
Sobel X,256,256,128,0.01838397979736328,0.0040493011474609375,0.005005836486816406,0.0007772445678710938,9,0.17284847227265654,253.622814753333,0.014334678649902344,0.2202624889765005,0.7797375110234995
Sobel Y,256,256,128,0.017968177795410156,0.004014015197753906,0.004948139190673828,0.0007719993591308594,9,0.17576030996231623,258.6663659041452,0.01395416259765625,0.22339578578631708,0.776604214213683
Gaussian,256,256,128,0.017993927001953125,0.0038356781005859375,0.0051822662353515625,0.0007700920104980469,9,0.17373330506677973,260.9809200763197,0.014158248901367188,0.21316514733941064,0.7868348526605894
Sobel X,512,512,32,0.6420273780822754,0.13408231735229492,0.18131494522094727,0.013641357421875,361,0.01215437278905906,29.297185369596168,0.5079450607299805,0.20884205554099028,0.7911579444590098
Sobel Y,512,512,32,0.6386699676513672,0.13356733322143555,0.18054628372192383,0.013746261596679688,361,0.011450752134556976,29.459765952808297,0.5051026344299316,0.20913357443847488,0.7908664255615251
Gaussian,512,512,32,0.6395058631896973,0.13361787796020508,0.18224096298217773,0.013751506805419922,361,0.011377625469656061,29.679283535437364,0.5058879852294922,0.20893925396360263,0.7910607460363973
Sobel X,512,512,64,0.14967775344848633,0.030286788940429688,0.04260587692260742,0.005086421966552734,81,0.052134935982185236,125.66727302267941,0.11939096450805664,0.20234662962691582,0.7976533703730841
Sobel Y,512,512,64,0.14935779571533203,0.030101776123046875,0.04290962219238281,0.004797458648681641,81,0.04896464533595551,125.97312164379713,0.11925601959228516,0.20154137906814887,0.7984586209318512
Gaussian,512,512,64,0.14948034286499023,0.030263900756835938,0.04314231872558594,0.004801750183105469,81,0.04867568576286433,126.9737242529898,0.1192164421081543,0.2024607394978356,0.7975392605021644
